incident_id,incident_category,severity,incident_description,resolution_status,location
184,Customs Issue,Medium,Customs requested additional documentation. Reported at Bengaluru facility during shift 2.,Open,Pune
185,Shipment Delay,Critical,Shipment rerouted causing additional transit time. Reported at Pune facility during shift 3.,Resolved,Pune
186,Shipment Delay,Critical,Delivery delayed due to traffic disruption. Reported at Hyderabad facility during shift 1.,In Progress,Mumbai
187,Customs Issue,High,Border inspection extended shipment hold. Reported at Chennai facility during shift 1.,Open,Delhi
188,Warehouse Issue,High,Cycle count discrepancy identified. Reported at Bengaluru facility during shift 1.,Resolved,Bengaluru
189,Documentation Error,High,Bill of lading information mismatch detected. Reported at Bengaluru facility during shift 2.,Resolved,Chennai
190,Damaged Goods,Medium,Transit vibration caused product defects. Reported at Delhi facility during shift 1.,Open,Mumbai
191,Customs Issue,Low,Trade compliance review delayed processing. Reported at Chennai facility during shift 1.,Open,Pune
192,Shipment Delay,Low,Port congestion delayed shipment arrival. Reported at Hyderabad facility during shift 1.,In Progress,Mumbai
193,Customs Issue,High,Customs clearance process delayed. Reported at Ahmedabad facility during shift 2.,Resolved,Mumbai
194,Transportation Failure,Low,Transportation vendor system outage reported. Reported at Bengaluru facility during shift 3.,Resolved,Hyderabad
195,Transportation Failure,Critical,Accident blocked scheduled delivery route. Reported at Chennai facility during shift 1.,In Progress,Kolkata
196,Customs Issue,Critical,Customs clearance process delayed. Reported at Ahmedabad facility during shift 3.,Open,Mumbai
197,Damaged Goods,Low,Container impact damaged shipment contents. Reported at Delhi facility during shift 1.,Resolved,Pune
198,Transportation Failure,Medium,Route planning error delayed movement. Reported at Hyderabad facility during shift 2.,In Progress,Mumbai
199,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Mumbai facility during shift 3.,Resolved,Bengaluru
200,Transportation Failure,Medium,Fleet utilization exceeded available capacity. Reported at Bengaluru facility during shift 2.,In Progress,Kolkata
201,Transportation Failure,Medium,Equipment malfunction impacted transport operations. Reported at Mumbai facility during shift 2.,Resolved,Hyderabad
202,Damaged Goods,Low,Goods arrived with visible damage. Reported at Ahmedabad facility during shift 1.,Open,Mumbai
203,Transportation Failure,Medium,Transport route disruption due to road closure. Reported at Pune facility during shift 1.,Resolved,Pune
204,Customs Issue,High,Customs clearance process delayed. Reported at Kolkata facility during shift 2.,In Progress,Chennai
205,Damaged Goods,Low,Container impact damaged shipment contents. Reported at Hyderabad facility during shift 2.,Resolved,Bengaluru
206,Inventory Shortage,High,Raw material shortage impacted production. Reported at Ahmedabad facility during shift 1.,In Progress,Pune
207,Shipment Delay,Low,Driver shortage affected transportation schedule. Reported at Hyderabad facility during shift 3.,In Progress,Chennai
208,Documentation Error,Low,Shipping label generated with incorrect address. Reported at Hyderabad facility during shift 1.,Resolved,Hyderabad
209,Damaged Goods,High,Water exposure damaged packaged goods. Reported at Chennai facility during shift 1.,Resolved,Kolkata
210,Shipment Delay,High,Port congestion delayed shipment arrival. Reported at Chennai facility during shift 1.,Open,Kolkata
211,Transportation Failure,Medium,Fleet utilization exceeded available capacity. Reported at Pune facility during shift 1.,Resolved,Pune
212,Warehouse Issue,Low,Cycle count discrepancy identified. Reported at Mumbai facility during shift 1.,Resolved,Chennai
213,Customs Issue,Medium,Customs clearance process delayed. Reported at Hyderabad facility during shift 2.,In Progress,Ahmedabad
214,Transportation Failure,Low,Vehicle maintenance issue halted delivery. Reported at Bengaluru facility during shift 3.,In Progress,Mumbai
215,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Ahmedabad facility during shift 3.,Open,Bengaluru
216,Transportation Failure,Low,Route planning error delayed movement. Reported at Chennai facility during shift 1.,Open,Delhi
217,Warehouse Issue,Low,Inventory allocation issue detected. Reported at Hyderabad facility during shift 2.,In Progress,Kolkata
218,Inventory Shortage,High,Inventory replenishment delayed. Reported at Kolkata facility during shift 3.,Resolved,Pune
219,Shipment Delay,Low,Delivery delayed due to traffic disruption. Reported at Chennai facility during shift 2.,Open,Pune
220,Documentation Error,Medium,Purchase order details inconsistent. Reported at Kolkata facility during shift 3.,In Progress,Mumbai
221,Transportation Failure,High,Delivery vehicle breakdown reported. Reported at Pune facility during shift 1.,Resolved,Ahmedabad
222,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Pune facility during shift 1.,Open,Bengaluru
223,Transportation Failure,Low,Route planning error delayed movement. Reported at Kolkata facility during shift 3.,In Progress,Pune
224,Inventory Shortage,Medium,Safety stock threshold breached. Reported at Delhi facility during shift 1.,Open,Bengaluru
225,Warehouse Issue,Critical,Receiving delay impacted warehouse operations. Reported at Pune facility during shift 3.,Resolved,Delhi
226,Inventory Shortage,Low,Product unavailable due to inventory mismatch. Reported at Delhi facility during shift 2.,Resolved,Delhi
227,Warehouse Issue,Critical,Space constraint affected storage operations. Reported at Mumbai facility during shift 1.,Resolved,Ahmedabad
228,Transportation Failure,Critical,Third-party carrier cancelled shipment booking. Reported at Ahmedabad facility during shift 3.,Resolved,Pune
229,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Pune facility during shift 1.,In Progress,Ahmedabad
230,Customs Issue,Low,Regulatory verification delayed release. Reported at Hyderabad facility during shift 3.,Resolved,Mumbai
231,Damaged Goods,Low,Improper handling caused item breakage. Reported at Ahmedabad facility during shift 1.,In Progress,Mumbai
232,Customs Issue,Medium,Trade compliance review delayed processing. Reported at Mumbai facility during shift 3.,In Progress,Ahmedabad
233,Documentation Error,Critical,Labeling information did not match shipment. Reported at Chennai facility during shift 2.,Resolved,Bengaluru
234,Damaged Goods,Low,Container impact damaged shipment contents. Reported at Ahmedabad facility during shift 3.,Open,Ahmedabad
235,Shipment Delay,Low,Driver shortage affected transportation schedule. Reported at Pune facility during shift 3.,Resolved,Delhi
236,Shipment Delay,Medium,Unexpected weather conditions slowed transportation. Reported at Ahmedabad facility during shift 2.,Resolved,Delhi
237,Damaged Goods,Medium,Water exposure damaged packaged goods. Reported at Hyderabad facility during shift 2.,In Progress,Chennai
238,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Pune facility during shift 1.,Resolved,Kolkata
239,Damaged Goods,Low,Shipment contents damaged in transit. Reported at Delhi facility during shift 2.,Resolved,Delhi
240,Damaged Goods,Medium,Shipment contents damaged in transit. Reported at Kolkata facility during shift 1.,Open,Hyderabad
241,Documentation Error,Medium,Purchase order details inconsistent. Reported at Pune facility during shift 1.,Resolved,Mumbai
242,Customs Issue,Medium,Customs valuation dispute identified. Reported at Kolkata facility during shift 3.,In Progress,Hyderabad
243,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Pune facility during shift 2.,Open,Delhi
244,Shipment Delay,High,Carrier scheduling issue caused shipment delay. Reported at Mumbai facility during shift 3.,Resolved,Chennai
245,Customs Issue,Medium,Customs requested additional documentation. Reported at Delhi facility during shift 3.,Open,Delhi
246,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Delhi facility during shift 3.,In Progress,Pune
247,Customs Issue,Medium,Regulatory approval pending clearance. Reported at Bengaluru facility during shift 2.,Resolved,Ahmedabad
248,Inventory Shortage,Critical,Backordered items unavailable for dispatch. Reported at Bengaluru facility during shift 2.,In Progress,Bengaluru
249,Damaged Goods,High,Fragile goods mishandled during unloading. Reported at Ahmedabad facility during shift 2.,In Progress,Kolkata
250,Inventory Shortage,Low,Inventory reservation conflict identified. Reported at Bengaluru facility during shift 3.,In Progress,Chennai
251,Customs Issue,Critical,Import permit approval pending. Reported at Pune facility during shift 3.,Resolved,Mumbai
252,Damaged Goods,Medium,Product packaging torn during loading. Reported at Delhi facility during shift 2.,Resolved,Delhi
