incident_id,incident_category,severity,incident_description,resolution_status,location,clean_text
60,Customs Issue,High,Country-specific restriction affected import. Reported at Pune facility during shift 2.,Resolved,Bengaluru,countryspecific restriction affect import report pune facility shift
61,Damaged Goods,High,Goods arrived with visible damage. Reported at Mumbai facility during shift 2.,In Progress,Bengaluru,goods arrive visible damage report mumbai facility shift
62,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Ahmedabad facility during shift 2.,Open,Bengaluru,inventory reservation conflict identify report ahmedabad facility shift
63,Shipment Delay,Medium,Shipment rerouted causing additional transit time. Reported at Bengaluru facility during shift 2.,Open,Hyderabad,shipment rerouted cause additional transit time report bengaluru facility shift
64,Damaged Goods,Critical,Fragile goods mishandled during unloading. Reported at Kolkata facility during shift 3.,Resolved,Pune,fragile goods mishandle unload report kolkata facility shift
65,Shipment Delay,Medium,Truck breakdown caused delivery delay. Reported at Hyderabad facility during shift 1.,In Progress,Chennai,truck breakdown cause delivery delay report hyderabad facility shift
66,Shipment Delay,High,Rail transport delay impacted delivery timeline. Reported at Kolkata facility during shift 2.,In Progress,Kolkata,rail transport delay impact delivery timeline report kolkata facility shift
67,Documentation Error,High,Labeling information did not match shipment. Reported at Mumbai facility during shift 2.,Open,Hyderabad,label information match shipment report mumbai facility shift
68,Shipment Delay,Medium,Dispatch process delayed at origin facility. Reported at Kolkata facility during shift 1.,Resolved,Bengaluru,dispatch process delay origin facility report kolkata facility shift
69,Damaged Goods,Critical,Pallet collapse resulted in product damage. Reported at Mumbai facility during shift 3.,Resolved,Pune,pallet collapse result product damage report mumbai facility shift
70,Customs Issue,Critical,Trade compliance review delayed processing. Reported at Mumbai facility during shift 3.,Resolved,Hyderabad,trade compliance review delay process report mumbai facility shift
71,Customs Issue,Medium,Tariff classification review in progress. Reported at Pune facility during shift 2.,Resolved,Delhi,tariff classification review progress report pune facility shift
72,Inventory Shortage,High,Supplier delay created inventory gap. Reported at Kolkata facility during shift 3.,Open,Hyderabad,supplier delay create inventory gap report kolkata facility shift
73,Transportation Failure,Low,Transportation vendor system outage reported. Reported at Chennai facility during shift 2.,In Progress,Pune,transportation vendor system outage report report chennai facility shift
74,Transportation Failure,Low,Fleet utilization exceeded available capacity. Reported at Ahmedabad facility during shift 3.,In Progress,Delhi,fleet utilization exceed available capacity report ahmedabad facility shift
75,Customs Issue,Medium,Customs clearance process delayed. Reported at Hyderabad facility during shift 3.,Resolved,Pune,customs clearance process delay report hyderabad facility shift
76,Shipment Delay,Medium,Holiday demand surge caused shipping delays. Reported at Bengaluru facility during shift 3.,Open,Delhi,holiday demand surge cause ship delay report bengaluru facility shift
77,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Bengaluru facility during shift 2.,Open,Ahmedabad,shipment delay due customs inspection report bengaluru facility shift
78,Transportation Failure,Medium,Trailer availability issue delayed dispatch. Reported at Bengaluru facility during shift 3.,In Progress,Kolkata,trailer availability issue delay dispatch report bengaluru facility shift
79,Inventory Shortage,High,Inventory replenishment delayed. Reported at Chennai facility during shift 1.,Open,Delhi,inventory replenishment delay report chennai facility shift
80,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Ahmedabad facility during shift 1.,Open,Ahmedabad,putaway process delay inventory availability report ahmedabad facility shift
81,Inventory Shortage,Medium,Unexpected order spike exhausted stock. Reported at Ahmedabad facility during shift 3.,Resolved,Pune,unexpected order spike exhaust stock report ahmedabad facility shift
82,Warehouse Issue,High,Order consolidation process delayed shipment. Reported at Ahmedabad facility during shift 3.,Resolved,Kolkata,order consolidation process delay shipment report ahmedabad facility shift
83,Warehouse Issue,High,Order consolidation process delayed shipment. Reported at Ahmedabad facility during shift 1.,In Progress,Ahmedabad,order consolidation process delay shipment report ahmedabad facility shift
84,Damaged Goods,Low,Warehouse accident damaged stored inventory. Reported at Bengaluru facility during shift 3.,Resolved,Ahmedabad,warehouse accident damage store inventory report bengaluru facility shift
85,Customs Issue,Low,Border inspection extended shipment hold. Reported at Hyderabad facility during shift 2.,In Progress,Bengaluru,border inspection extend shipment hold report hyderabad facility shift
86,Damaged Goods,Low,Water exposure damaged packaged goods. Reported at Pune facility during shift 3.,Open,Bengaluru,water exposure damage package goods report pune facility shift
87,Transportation Failure,Low,Equipment malfunction impacted transport operations. Reported at Delhi facility during shift 3.,In Progress,Kolkata,equipment malfunction impact transport operations report delhi facility shift
88,Damaged Goods,Low,Temperature excursion affected product quality. Reported at Ahmedabad facility during shift 2.,In Progress,Kolkata,temperature excursion affect product quality report ahmedabad facility shift
89,Warehouse Issue,Medium,Cycle count discrepancy identified. Reported at Chennai facility during shift 3.,Open,Pune,cycle count discrepancy identify report chennai facility shift
90,Damaged Goods,Medium,Warehouse accident damaged stored inventory. Reported at Kolkata facility during shift 2.,Resolved,Bengaluru,warehouse accident damage store inventory report kolkata facility shift
91,Transportation Failure,Medium,Logistics partner experienced operational failure. Reported at Hyderabad facility during shift 2.,In Progress,Pune,logistics partner experience operational failure report hyderabad facility shift
92,Customs Issue,Low,Customs valuation dispute identified. Reported at Kolkata facility during shift 3.,In Progress,Delhi,customs valuation dispute identify report kolkata facility shift
93,Documentation Error,Medium,Labeling information did not match shipment. Reported at Chennai facility during shift 2.,Resolved,Chennai,label information match shipment report chennai facility shift
94,Shipment Delay,High,Shipment rerouted causing additional transit time. Reported at Kolkata facility during shift 1.,Open,Chennai,shipment rerouted cause additional transit time report kolkata facility shift
95,Damaged Goods,Medium,Pallet collapse resulted in product damage. Reported at Pune facility during shift 1.,In Progress,Kolkata,pallet collapse result product damage report pune facility shift
96,Damaged Goods,High,Warehouse accident damaged stored inventory. Reported at Kolkata facility during shift 2.,In Progress,Chennai,warehouse accident damage store inventory report kolkata facility shift
97,Customs Issue,Low,Shipment flagged for compliance audit. Reported at Chennai facility during shift 2.,Open,Chennai,shipment flag compliance audit report chennai facility shift
98,Warehouse Issue,High,Warehouse stock mismatch identified. Reported at Bengaluru facility during shift 1.,Resolved,Delhi,warehouse stock mismatch identify report bengaluru facility shift
99,Inventory Shortage,Low,Inventory replenishment delayed. Reported at Ahmedabad facility during shift 3.,Open,Ahmedabad,inventory replenishment delay report ahmedabad facility shift
100,Customs Issue,Medium,Regulatory verification delayed release. Reported at Pune facility during shift 1.,Resolved,Mumbai,regulatory verification delay release report pune facility shift
101,Warehouse Issue,Low,Warehouse staffing shortage reported. Reported at Delhi facility during shift 2.,Open,Hyderabad,warehouse staff shortage report report delhi facility shift
102,Documentation Error,Critical,Missing certificate delayed shipment release. Reported at Kolkata facility during shift 2.,Open,Mumbai,miss certificate delay shipment release report kolkata facility shift
103,Documentation Error,Medium,Data entry error impacted shipment records. Reported at Bengaluru facility during shift 1.,In Progress,Mumbai,data entry error impact shipment record report bengaluru facility shift
104,Warehouse Issue,Medium,Cycle count discrepancy identified. Reported at Chennai facility during shift 2.,Resolved,Pune,cycle count discrepancy identify report chennai facility shift
105,Shipment Delay,High,Cargo loading completed behind schedule. Reported at Pune facility during shift 1.,In Progress,Mumbai,cargo load complete behind schedule report pune facility shift
106,Transportation Failure,Low,Driver unavailable for scheduled route. Reported at Ahmedabad facility during shift 3.,Open,Hyderabad,driver unavailable schedule route report ahmedabad facility shift
107,Documentation Error,Medium,Invoice value discrepancy identified. Reported at Ahmedabad facility during shift 2.,Resolved,Hyderabad,invoice value discrepancy identify report ahmedabad facility shift
108,Damaged Goods,Low,Transit vibration caused product defects. Reported at Bengaluru facility during shift 1.,In Progress,Bengaluru,transit vibration cause product defect report bengaluru facility shift
109,Warehouse Issue,Low,Warehouse management system outage reported. Reported at Kolkata facility during shift 2.,In Progress,Delhi,warehouse management system outage report report kolkata facility shift
110,Transportation Failure,Medium,Logistics partner experienced operational failure. Reported at Pune facility during shift 2.,Resolved,Hyderabad,logistics partner experience operational failure report pune facility shift
111,Documentation Error,Low,Incorrect shipping documentation submitted. Reported at Bengaluru facility during shift 1.,In Progress,Ahmedabad,incorrect ship documentation submit report bengaluru facility shift
112,Documentation Error,Medium,Invoice value discrepancy identified. Reported at Bengaluru facility during shift 3.,Resolved,Ahmedabad,invoice value discrepancy identify report bengaluru facility shift
113,Transportation Failure,Low,Third-party carrier cancelled shipment booking. Reported at Chennai facility during shift 1.,In Progress,Bengaluru,thirdparty carrier cancel shipment book report chennai facility shift
114,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Pune facility during shift 2.,In Progress,Kolkata,fragile goods mishandle unload report pune facility shift
115,Customs Issue,High,Shipment flagged for compliance audit. Reported at Pune facility during shift 2.,In Progress,Hyderabad,shipment flag compliance audit report pune facility shift
116,Damaged Goods,Low,Forklift accident damaged inventory. Reported at Mumbai facility during shift 3.,Open,Delhi,forklift accident damage inventory report mumbai facility shift
117,Inventory Shortage,High,Demand exceeded available stock levels. Reported at Ahmedabad facility during shift 2.,Resolved,Hyderabad,demand exceed available stock level report ahmedabad facility shift
118,Shipment Delay,Low,Holiday demand surge caused shipping delays. Reported at Bengaluru facility during shift 2.,Open,Hyderabad,holiday demand surge cause ship delay report bengaluru facility shift
119,Shipment Delay,Low,Dispatch process delayed at origin facility. Reported at Delhi facility during shift 2.,Open,Hyderabad,dispatch process delay origin facility report delhi facility shift
120,Customs Issue,High,Import documentation under review. Reported at Ahmedabad facility during shift 1.,Resolved,Hyderabad,import documentation review report ahmedabad facility shift
121,Transportation Failure,Low,Fleet utilization exceeded available capacity. Reported at Ahmedabad facility during shift 2.,Open,Hyderabad,fleet utilization exceed available capacity report ahmedabad facility shift
122,Warehouse Issue,Medium,Warehouse management system outage reported. Reported at Mumbai facility during shift 1.,Open,Chennai,warehouse management system outage report report mumbai facility shift
123,Inventory Shortage,Critical,Inventory replenishment delayed. Reported at Hyderabad facility during shift 1.,Open,Kolkata,inventory replenishment delay report hyderabad facility shift
124,Documentation Error,Medium,Documentation approval pending correction. Reported at Bengaluru facility during shift 3.,In Progress,Hyderabad,documentation approval pending correction report bengaluru facility shift
125,Warehouse Issue,Medium,Cycle count discrepancy identified. Reported at Kolkata facility during shift 2.,Open,Mumbai,cycle count discrepancy identify report kolkata facility shift
126,Warehouse Issue,Medium,Warehouse processing backlog reported. Reported at Bengaluru facility during shift 2.,Open,Bengaluru,warehouse process backlog report report bengaluru facility shift
127,Inventory Shortage,Low,Backordered items unavailable for dispatch. Reported at Mumbai facility during shift 1.,In Progress,Ahmedabad,backordered items unavailable dispatch report mumbai facility shift
128,Damaged Goods,High,Package damaged during transportation. Reported at Bengaluru facility during shift 2.,Resolved,Ahmedabad,package damage transportation report bengaluru facility shift
129,Shipment Delay,High,Shipment rerouted causing additional transit time. Reported at Bengaluru facility during shift 2.,Resolved,Bengaluru,shipment rerouted cause additional transit time report bengaluru facility shift
130,Transportation Failure,Low,Transport route disruption due to road closure. Reported at Bengaluru facility during shift 3.,In Progress,Delhi,transport route disruption due road closure report bengaluru facility shift
131,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Delhi facility during shift 2.,Resolved,Hyderabad,shipment delay due customs inspection report delhi facility shift
132,Transportation Failure,Medium,Transport route disruption due to road closure. Reported at Ahmedabad facility during shift 3.,In Progress,Hyderabad,transport route disruption due road closure report ahmedabad facility shift
133,Documentation Error,Low,Labeling information did not match shipment. Reported at Ahmedabad facility during shift 2.,Open,Kolkata,label information match shipment report ahmedabad facility shift
134,Customs Issue,Low,Customs requested additional documentation. Reported at Hyderabad facility during shift 1.,Resolved,Chennai,customs request additional documentation report hyderabad facility shift
135,Warehouse Issue,Low,Dock congestion slowed warehouse throughput. Reported at Hyderabad facility during shift 3.,Open,Ahmedabad,dock congestion slow warehouse throughput report hyderabad facility shift
136,Documentation Error,Low,Missing certificate delayed shipment release. Reported at Ahmedabad facility during shift 2.,Resolved,Kolkata,miss certificate delay shipment release report ahmedabad facility shift
137,Customs Issue,Medium,Trade compliance review delayed processing. Reported at Ahmedabad facility during shift 1.,In Progress,Pune,trade compliance review delay process report ahmedabad facility shift
138,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Mumbai facility during shift 1.,Resolved,Ahmedabad,fragile goods mishandle unload report mumbai facility shift
139,Damaged Goods,Low,Fragile goods mishandled during unloading. Reported at Kolkata facility during shift 3.,Open,Pune,fragile goods mishandle unload report kolkata facility shift
140,Damaged Goods,High,Water exposure damaged packaged goods. Reported at Mumbai facility during shift 2.,Open,Ahmedabad,water exposure damage package goods report mumbai facility shift
141,Transportation Failure,Medium,Delivery vehicle breakdown reported. Reported at Bengaluru facility during shift 3.,In Progress,Ahmedabad,delivery vehicle breakdown report report bengaluru facility shift
142,Warehouse Issue,Medium,Warehouse stock mismatch identified. Reported at Bengaluru facility during shift 2.,In Progress,Ahmedabad,warehouse stock mismatch identify report bengaluru facility shift
143,Customs Issue,Critical,Import permit approval pending. Reported at Mumbai facility during shift 1.,Resolved,Bengaluru,import permit approval pending report mumbai facility shift
144,Customs Issue,Low,Import documentation under review. Reported at Hyderabad facility during shift 3.,In Progress,Mumbai,import documentation review report hyderabad facility shift
145,Inventory Shortage,Critical,Inventory reservation conflict identified. Reported at Mumbai facility during shift 2.,Resolved,Delhi,inventory reservation conflict identify report mumbai facility shift
146,Transportation Failure,High,Trailer availability issue delayed dispatch. Reported at Hyderabad facility during shift 3.,In Progress,Ahmedabad,trailer availability issue delay dispatch report hyderabad facility shift
147,Transportation Failure,Low,Logistics partner experienced operational failure. Reported at Ahmedabad facility during shift 3.,Open,Delhi,logistics partner experience operational failure report ahmedabad facility shift
148,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Hyderabad facility during shift 2.,Resolved,Hyderabad,pick error occur warehouse report hyderabad facility shift
149,Warehouse Issue,Low,Warehouse stock mismatch identified. Reported at Hyderabad facility during shift 3.,Resolved,Ahmedabad,warehouse stock mismatch identify report hyderabad facility shift
150,Warehouse Issue,Medium,Storage location information incorrect. Reported at Ahmedabad facility during shift 3.,In Progress,Kolkata,storage location information incorrect report ahmedabad facility shift
151,Transportation Failure,Critical,Trailer availability issue delayed dispatch. Reported at Pune facility during shift 1.,Open,Kolkata,trailer availability issue delay dispatch report pune facility shift
152,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Kolkata facility during shift 1.,In Progress,Kolkata,inventory reservation conflict identify report kolkata facility shift
153,Transportation Failure,Critical,Accident blocked scheduled delivery route. Reported at Delhi facility during shift 2.,Open,Pune,accident block schedule delivery route report delhi facility shift
154,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Ahmedabad facility during shift 1.,In Progress,Chennai,pick error occur warehouse report ahmedabad facility shift
155,Customs Issue,Critical,Import documentation under review. Reported at Kolkata facility during shift 3.,Open,Ahmedabad,import documentation review report kolkata facility shift
156,Warehouse Issue,Medium,Inventory allocation issue detected. Reported at Pune facility during shift 3.,Resolved,Mumbai,inventory allocation issue detect report pune facility shift
157,Warehouse Issue,Medium,Receiving delay impacted warehouse operations. Reported at Kolkata facility during shift 2.,In Progress,Chennai,receive delay impact warehouse operations report kolkata facility shift
158,Documentation Error,Medium,Missing invoice delayed processing. Reported at Bengaluru facility during shift 3.,In Progress,Bengaluru,miss invoice delay process report bengaluru facility shift
159,Customs Issue,High,Customs clearance process delayed. Reported at Kolkata facility during shift 1.,Resolved,Mumbai,customs clearance process delay report kolkata facility shift
160,Transportation Failure,Low,Carrier failed to pick up shipment. Reported at Hyderabad facility during shift 1.,Open,Hyderabad,carrier fail pick shipment report hyderabad facility shift
161,Damaged Goods,Low,Water exposure damaged packaged goods. Reported at Kolkata facility during shift 1.,In Progress,Delhi,water exposure damage package goods report kolkata facility shift
162,Inventory Shortage,High,Inventory replenishment delayed. Reported at Mumbai facility during shift 3.,Resolved,Bengaluru,inventory replenishment delay report mumbai facility shift
163,Transportation Failure,Medium,Trailer availability issue delayed dispatch. Reported at Delhi facility during shift 1.,In Progress,Ahmedabad,trailer availability issue delay dispatch report delhi facility shift
164,Damaged Goods,Critical,Fragile goods mishandled during unloading. Reported at Chennai facility during shift 2.,Resolved,Delhi,fragile goods mishandle unload report chennai facility shift
165,Shipment Delay,Low,Last-mile delivery partner unavailable. Reported at Pune facility during shift 3.,In Progress,Hyderabad,lastmile delivery partner unavailable report pune facility shift
166,Transportation Failure,Critical,Transportation network disruption reported. Reported at Hyderabad facility during shift 1.,In Progress,Mumbai,transportation network disruption report report hyderabad facility shift
167,Inventory Shortage,Low,Supplier delay created inventory gap. Reported at Pune facility during shift 3.,Resolved,Hyderabad,supplier delay create inventory gap report pune facility shift
168,Shipment Delay,Low,Holiday demand surge caused shipping delays. Reported at Kolkata facility during shift 2.,Resolved,Chennai,holiday demand surge cause ship delay report kolkata facility shift
169,Documentation Error,High,Data entry error impacted shipment records. Reported at Ahmedabad facility during shift 2.,Open,Pune,data entry error impact shipment record report ahmedabad facility shift
170,Inventory Shortage,Low,Raw material shortage impacted production. Reported at Bengaluru facility during shift 3.,Resolved,Delhi,raw material shortage impact production report bengaluru facility shift
171,Customs Issue,High,Customs clearance process delayed. Reported at Chennai facility during shift 2.,Open,Pune,customs clearance process delay report chennai facility shift
172,Customs Issue,Medium,Import documentation under review. Reported at Mumbai facility during shift 2.,In Progress,Delhi,import documentation review report mumbai facility shift
173,Inventory Shortage,Medium,Inventory replenishment delayed. Reported at Pune facility during shift 3.,In Progress,Delhi,inventory replenishment delay report pune facility shift
174,Damaged Goods,High,Receiving inspection identified damaged goods. Reported at Ahmedabad facility during shift 2.,In Progress,Mumbai,receive inspection identify damage goods report ahmedabad facility shift
175,Transportation Failure,High,Transport route disruption due to road closure. Reported at Delhi facility during shift 1.,Resolved,Kolkata,transport route disruption due road closure report delhi facility shift
176,Warehouse Issue,High,Space constraint affected storage operations. Reported at Pune facility during shift 1.,Open,Hyderabad,space constraint affect storage operations report pune facility shift
177,Documentation Error,Medium,Missing invoice delayed processing. Reported at Ahmedabad facility during shift 2.,Resolved,Hyderabad,miss invoice delay process report ahmedabad facility shift
178,Documentation Error,Medium,Purchase order details inconsistent. Reported at Pune facility during shift 1.,In Progress,Chennai,purchase order detail inconsistent report pune facility shift
179,Documentation Error,Low,Shipping label generated with incorrect address. Reported at Pune facility during shift 3.,Open,Ahmedabad,ship label generate incorrect address report pune facility shift
180,Customs Issue,Low,Regulatory verification delayed release. Reported at Kolkata facility during shift 1.,Open,Hyderabad,regulatory verification delay release report kolkata facility shift
181,Transportation Failure,High,Transport route disruption due to road closure. Reported at Mumbai facility during shift 1.,Open,Kolkata,transport route disruption due road closure report mumbai facility shift
182,Transportation Failure,High,Driver unavailable for scheduled route. Reported at Kolkata facility during shift 3.,Open,Kolkata,driver unavailable schedule route report kolkata facility shift
183,Customs Issue,Medium,Customs clearance process delayed. Reported at Ahmedabad facility during shift 3.,In Progress,Chennai,customs clearance process delay report ahmedabad facility shift
184,Customs Issue,Medium,Customs requested additional documentation. Reported at Bengaluru facility during shift 2.,Open,Pune,customs request additional documentation report bengaluru facility shift
